timestamp,river_name,sensor_distance_cm,water_height_cm,water_flow_m3s,flood_status,flood_level,rainfall_mm,humidity_pct,temperature_c,sensor_status,latitude,longitude
2024-03-27 23:00:00,Sungai_Setail,46.33,253.67,102.545,BANJIR,TINGGI,0.0,73.0,27.5,NORMAL,-8.1987,114.3891
2024-03-23 13:00:00,Sungai_Setail,85.29,214.71,80.462,BANJIR,TINGGI,3.1,76.9,33.0,ERROR,-8.1987,114.3891
2024-01-13 16:00:00,Sungai_Bajulmati,96.54,203.46,74.34,BANJIR,TINGGI,0.8,76.9,29.6,NORMAL,-8.1892,114.3678
2024-03-12 16:00:00,Sungai_Watugede,114.76,185.24,64.703,WASPADA,SEDANG,5.2,70.9,28.7,NORMAL,-8.2251,114.3562
2024-01-11 17:00:00,Sungai_Kalibendo,51.76,248.24,99.388,BANJIR,TINGGI,6.7,69.4,29.4,NORMAL,-8.2156,114.3452
2024-03-24 00:00:00,Sungai_Setail,84.09,215.91,81.12,BANJIR,TINGGI,3.3,81.6,28.9,NORMAL,-8.1987,114.3891
2024-03-14 14:00:00,Sungai_Sukowidi,66.65,233.35,90.862,BANJIR,TINGGI,7.9,75.4,29.0,NORMAL,-8.2345,114.3216
2024-01-21 15:00:00,Sungai_Kalibendo,65.4,234.6,91.572,BANJIR,TINGGI,4.3,74.4,29.6,NORMAL,-8.2156,114.3452
2024-03-21 09:00:00,Sungai_Setail,61.38,238.62,93.859,BANJIR,TINGGI,0.5,75.5,26.4,NORMAL,-8.1987,114.3891
2024-02-06 22:00:00,Sungai_Setail,113.77,186.23,65.215,WASPADA,SEDANG,6.7,74.2,27.9,NORMAL,-8.1987,114.3891
2024-02-26 13:00:00,Sungai_Setail,59.24,240.76,95.085,BANJIR,TINGGI,6.4,79.8,29.2,NORMAL,-8.1987,114.3891
2024-01-22 07:00:00,Sungai_Bajulmati,97.29,202.71,73.937,BANJIR,TINGGI,1.1,67.7,29.7,NORMAL,-8.1892,114.3678
2024-01-01 08:00:00,Sungai_Bajulmati,89.58,210.42,78.109,BANJIR,TINGGI,0.0,76.9,27.7,NORMAL,-8.1892,114.3678
2024-01-09 14:00:00,Sungai_Setail,57.96,242.04,95.816,BANJIR,TINGGI,4.9,78.3,30.1,NORMAL,-8.1987,114.3891
2024-03-22 00:00:00,Sungai_Sukowidi,92.95,207.05,76.277,BANJIR,TINGGI,1.3,79.6,26.5,NORMAL,-8.2345,114.3216
2024-02-20 15:00:00,Sungai_Kalibendo,100.23,199.77,72.361,WASPADA,SEDANG,1.4,73.5,30.8,NORMAL,-8.2156,114.3452
2024-02-14 22:00:00,Sungai_Bajulmati,95.59,204.41,74.851,BANJIR,TINGGI,2.8,79.9,28.0,NORMAL,-8.1892,114.3678
2024-01-14 12:00:00,Sungai_Kalibendo,113.14,186.86,65.542,WASPADA,SEDANG,1.3,68.7,31.3,NORMAL,-8.2156,114.3452
2024-03-27 01:00:00,Sungai_Setail,124.21,175.79,59.845,WASPADA,SEDANG,5.6,74.9,26.3,NORMAL,-8.1987,114.3891
2024-03-07 10:00:00,Sungai_Sumberagung,81.81,218.19,82.376,BANJIR,TINGGI,1.7,66.0,28.6,NORMAL,-8.1763,114.3987
2024-02-23 22:00:00,Sungai_Setail,148.49,151.51,47.867,WASPADA,SEDANG,4.3,69.6,26.9,NORMAL,-8.1987,114.3891
2024-01-17 23:00:00,Sungai_Sukowidi,143.77,156.23,50.135,WASPADA,SEDANG,21.2,79.5,29.1,NORMAL,-8.2345,114.3216
2024-01-23 10:00:00,Sungai_Bajulmati,130.11,169.89,56.866,WASPADA,SEDANG,0.0,70.0,29.2,NORMAL,-8.1892,114.3678
2024-01-28 08:00:00,Sungai_Sumberagung,71.13,228.87,88.332,BANJIR,TINGGI,4.6,68.5,26.9,NORMAL,-8.1763,114.3987
2024-01-08 06:00:00,Sungai_Kalibendo,47.67,252.33,101.762,BANJIR,TINGGI,0.0,79.9,26.1,NORMAL,-8.2156,114.3452
