timestamp,river_name,sensor_distance_cm,water_height_cm,water_flow_m3s,flood_status,flood_level,rainfall_mm,humidity_pct,temperature_c,sensor_status,latitude,longitude
2024-01-01 00:00:00,Bomo River,138.21,161.79,2.132,AMAN,SEDANG,0.3,62.2,26.0,NORMAL,-8.310565,114.335166
2024-01-01 01:00:00,Bomo River,148.65,151.35,1.712,AMAN,SEDANG,3.3,75.5,31.5,NORMAL,-8.230613,114.467725
2024-01-01 02:00:00,Bomo River,118.44,181.56,2.471,AMAN,SEDANG,0.0,77.1,30.9,NORMAL,-8.303815,114.378237
2024-01-01 03:00:00,Bomo River,67.94,232.06,3.65,BANJIR,TINGGI,10.1,65.4,30.7,NORMAL,-8.218594,114.367437
2024-01-01 04:00:00,Bomo River,234.07,65.93,0.454,AMAN,RENDAH,8.9,86.1,30.2,NORMAL,-8.269232,114.364535
2024-01-01 05:00:00,Bomo River,119.62,180.38,2.298,AMAN,SEDANG,13.4,72.2,25.3,NORMAL,-8.223476,114.322015
2024-01-01 06:00:00,Bomo River,152.47,147.53,1.546,AMAN,RENDAH,0.0,89.9,27.4,NORMAL,-8.130132,114.36226
2024-01-01 07:00:00,Bomo River,128.92,171.08,2.452,AMAN,SEDANG,9.1,84.0,24.8,NORMAL,-8.216559,114.297217
2024-01-01 08:00:00,Bomo River,208.38,91.62,1.001,AMAN,RENDAH,8.0,76.1,30.2,NORMAL,-8.308508,114.344015
2024-01-01 09:00:00,Bomo River,109.38,190.62,2.357,AMAN,SEDANG,13.9,83.5,28.0,NORMAL,-8.248241,114.315026
2024-01-01 10:00:00,Bomo River,83.22,216.78,3.207,BANJIR,TINGGI,10.0,81.3,28.2,NORMAL,-8.204079,114.318457
2024-01-01 11:00:00,Bomo River,99.96,200.04,2.394,BANJIR,TINGGI,0.9,70.7,26.8,NORMAL,-8.250088,114.269904
2024-01-01 12:00:00,Bomo River,137.31,162.69,1.878,AMAN,SEDANG,10.7,91.3,27.0,NORMAL,-8.280419,114.340417
2024-01-01 13:00:00,Bomo River,64.24,235.76,3.096,BANJIR,TINGGI,0.0,77.8,28.9,NORMAL,-8.159975,114.423641
2024-01-01 14:00:00,Bomo River,111.51,188.49,2.552,AMAN,SEDANG,5.1,66.9,29.0,NORMAL,-8.253874,114.321607
2024-01-01 15:00:00,Bomo River,99.56,200.44,2.848,BANJIR,TINGGI,15.9,76.6,28.7,NORMAL,-8.175439,114.370683
2024-01-01 16:00:00,Bomo River,118.42,181.58,2.352,AMAN,SEDANG,8.5,76.6,26.1,NORMAL,-8.229755,114.334017
2024-01-01 17:00:00,Bomo River,123.15,176.85,1.993,AMAN,SEDANG,12.5,71.1,25.1,NORMAL,-8.161271,114.464491
2024-01-01 18:00:00,Bomo River,172.19,127.81,1.7,AMAN,RENDAH,4.0,70.4,30.7,NORMAL,-8.276317,114.458468
2024-01-01 19:00:00,Bomo River,75.03,224.97,2.741,BANJIR,TINGGI,8.5,65.8,30.7,NORMAL,-8.310334,114.284194
2024-01-01 20:00:00,Bomo River,97.7,202.3,3.079,BANJIR,TINGGI,5.1,81.2,26.9,NORMAL,-8.205758,114.269933
2024-01-01 21:00:00,Bomo River,113.64,186.36,2.423,AMAN,SEDANG,8.0,66.5,29.9,NORMAL,-8.275606,114.319982
2024-01-01 22:00:00,Bomo River,57.19,242.81,3.533,BANJIR,TINGGI,14.3,78.7,29.8,NORMAL,-8.289259,114.412474
2024-01-01 23:00:00,Bomo River,122.87,177.13,2.168,AMAN,SEDANG,0.7,77.6,27.7,NORMAL,-8.170196,114.419094
2024-01-02 00:00:00,Bomo River,54.12,245.88,4.246,BANJIR,TINGGI,0.0,79.5,30.2,NORMAL,-8.297886,114.299911
2024-01-02 01:00:00,Bomo River,103.06,196.94,2.863,AMAN,SEDANG,19.7,81.6,24.9,NORMAL,-8.135746,114.45561
2024-01-02 02:00:00,Bomo River,107.31,192.69,3.068,AMAN,SEDANG,14.6,95.0,28.3,NORMAL,-8.155023,114.272415
2024-01-02 03:00:00,Bomo River,106.95,193.05,2.31,AMAN,SEDANG,7.6,70.9,29.8,NORMAL,-8.206185,114.463118
2024-01-02 04:00:00,Bomo River,106.28,193.72,3.025,AMAN,SEDANG,9.8,73.2,25.1,NORMAL,-8.179335,114.351952
2024-01-02 05:00:00,Bomo River,101.32,198.68,3.105,AMAN,SEDANG,3.5,84.1,29.2,NORMAL,-8.243525,114.431833
2024-01-02 06:00:00,Bomo River,142.91,157.09,2.121,AMAN,SEDANG,0.0,63.8,28.5,NORMAL,-8.23625,114.453042
2024-01-02 07:00:00,Bomo River,76.5,223.5,3.704,BANJIR,TINGGI,7.6,83.2,24.2,NORMAL,-8.225214,114.337243
2024-01-02 08:00:00,Bomo River,111.6,188.4,2.769,AMAN,SEDANG,12.1,85.0,25.3,NORMAL,-8.182871,114.275451
2024-01-02 09:00:00,Bomo River,75.73,224.27,2.843,BANJIR,TINGGI,5.2,60.8,25.5,NORMAL,-8.213784,114.356064
2024-01-02 10:00:00,Bomo River,62.58,237.42,3.165,BANJIR,TINGGI,6.6,60.6,25.6,NORMAL,-8.122375,114.366387
2024-01-02 11:00:00,Bomo River,120.03,179.97,2.204,AMAN,SEDANG,9.8,69.3,24.2,NORMAL,-8.270913,114.361179
2024-01-02 12:00:00,Bomo River,137.75,162.25,2.305,AMAN,SEDANG,18.1,74.2,29.0,NORMAL,-8.298892,114.416278
2024-01-02 13:00:00,Bomo River,47.88,252.12,4.08,BANJIR,TINGGI,4.2,89.8,27.2,NORMAL,-8.155448,114.417232
2024-01-02 14:00:00,Bomo River,163.84,136.16,1.794,AMAN,RENDAH,26.4,86.9,26.3,NORMAL,-8.160066,114.279328
2024-01-02 15:00:00,Bomo River,132.37,167.63,2.558,AMAN,SEDANG,13.1,91.1,31.9,NORMAL,-8.242363,114.428895
2024-01-02 16:00:00,Bomo River,79.52,220.48,2.882,BANJIR,TINGGI,2.4,85.2,28.6,ERROR,-8.154658,114.318837
2024-01-02 17:00:00,Bomo River,117.0,183.0,2.37,AMAN,SEDANG,0.0,62.1,29.5,NORMAL,-8.298392,114.350198
2024-01-02 18:00:00,Bomo River,145.31,154.69,1.893,AMAN,SEDANG,9.5,85.5,31.9,NORMAL,-8.287313,114.388348
2024-01-02 19:00:00,Bomo River,90.94,209.06,3.121,BANJIR,TINGGI,15.2,89.2,30.9,NORMAL,-8.156609,114.423867
2024-01-02 20:00:00,Bomo River,134.8,165.2,2.029,AMAN,SEDANG,0.0,73.7,29.7,NORMAL,-8.129397,114.306415
2024-01-02 21:00:00,Bomo River,135.04,164.96,2.041,AMAN,SEDANG,4.4,64.3,28.8,NORMAL,-8.130457,114.294845
2024-01-02 22:00:00,Bomo River,130.45,169.55,2.032,AMAN,SEDANG,4.8,72.3,27.5,NORMAL,-8.226417,114.443838
2024-01-02 23:00:00,Bomo River,92.69,207.31,3.407,BANJIR,TINGGI,8.4,63.6,29.9,NORMAL,-8.269174,114.421615
2024-01-03 00:00:00,Bomo River,132.8,167.2,2.005,AMAN,SEDANG,5.8,70.2,27.0,NORMAL,-8.301221,114.400544
2024-01-03 01:00:00,Bomo River,79.49,220.51,2.739,BANJIR,TINGGI,0.5,65.6,29.0,NORMAL,-8.308256,114.416578
2024-01-03 02:00:00,Bomo River,83.77,216.23,3.104,BANJIR,TINGGI,0.0,94.4,25.8,NORMAL,-8.304283,114.273382
2024-01-03 03:00:00,Bomo River,102.66,197.34,3.271,AMAN,SEDANG,4.3,66.2,31.2,NORMAL,-8.274064,114.419469
2024-01-03 04:00:00,Bomo River,53.64,246.36,3.541,BANJIR,TINGGI,0.0,91.4,31.7,NORMAL,-8.302235,114.446879
2024-01-03 05:00:00,Bomo River,51.01,248.99,4.515,BANJIR,TINGGI,19.6,85.7,29.1,NORMAL,-8.213339,114.300398
2024-01-03 06:00:00,Bomo River,61.79,238.21,4.149,BANJIR,TINGGI,5.5,73.6,29.3,NORMAL,-8.250489,114.313381
2024-01-03 07:00:00,Bomo River,131.87,168.13,2.504,AMAN,SEDANG,0.0,63.6,29.5,NORMAL,-8.173413,114.383685
2024-01-03 08:00:00,Bomo River,101.99,198.01,2.484,AMAN,SEDANG,8.1,69.0,25.9,NORMAL,-8.305107,114.43633
2024-01-03 09:00:00,Bomo River,56.74,243.26,3.737,BANJIR,TINGGI,11.6,94.1,25.4,NORMAL,-8.300354,114.344219
2024-01-03 10:00:00,Bomo River,117.95,182.05,2.927,AMAN,SEDANG,14.0,94.1,29.0,NORMAL,-8.179744,114.334305
2024-01-03 11:00:00,Bomo River,93.42,206.58,2.729,BANJIR,TINGGI,4.1,87.9,27.2,NORMAL,-8.278234,114.40461
2024-01-03 12:00:00,Bomo River,88.5,211.5,3.29,BANJIR,TINGGI,0.0,60.5,30.3,NORMAL,-8.204354,114.359876
2024-01-03 13:00:00,Bomo River,101.98,198.02,2.533,AMAN,SEDANG,0.0,66.8,31.0,NORMAL,-8.146907,114.450987
2024-01-03 14:00:00,Bomo River,83.68,216.32,2.966,BANJIR,TINGGI,14.9,89.2,28.3,NORMAL,-8.186416,114.424079
2024-01-03 15:00:00,Bomo River,155.56,144.44,2.061,AMAN,RENDAH,0.2,63.8,31.6,NORMAL,-8.185448,114.365749
