timestamp,river_name,sensor_distance_cm,water_height_cm,water_flow_m3s,flood_status,flood_level,rainfall_mm,humidity_pct,temperature_c,sensor_status,latitude,longitude
2024-01-01 00:00:00,Kalibaru River,124.99,175.01,2.513,AMAN,SEDANG,11.7,67.5,25.4,NORMAL,-8.212119,114.363515
2024-01-01 01:00:00,Kalibaru River,75.21,224.79,2.864,BANJIR,TINGGI,14.8,71.4,26.2,NORMAL,-8.227825,114.411336
2024-01-01 02:00:00,Kalibaru River,59.76,240.24,4.064,BANJIR,TINGGI,10.0,80.8,24.6,NORMAL,-8.174787,114.269547
2024-01-01 03:00:00,Kalibaru River,119.92,180.08,2.179,AMAN,SEDANG,7.3,62.1,28.6,NORMAL,-8.246446,114.329827
2024-01-01 04:00:00,Kalibaru River,127.7,172.3,2.471,AMAN,SEDANG,5.5,82.8,26.7,NORMAL,-8.177004,114.317376
2024-01-01 05:00:00,Kalibaru River,160.68,139.32,1.617,AMAN,RENDAH,12.3,82.1,26.7,NORMAL,-8.284578,114.455425
2024-01-01 06:00:00,Kalibaru River,70.06,229.94,2.832,BANJIR,TINGGI,10.9,80.0,28.7,NORMAL,-8.196193,114.40231
2024-01-01 07:00:00,Kalibaru River,155.41,144.59,1.532,AMAN,RENDAH,17.8,72.6,24.5,NORMAL,-8.257606,114.420737
2024-01-01 08:00:00,Kalibaru River,120.34,179.66,2.883,AMAN,SEDANG,23.2,89.5,24.2,NORMAL,-8.309765,114.318334
2024-01-01 09:00:00,Kalibaru River,106.56,193.44,2.601,AMAN,SEDANG,19.6,92.9,25.8,NORMAL,-8.311777,114.429251
2024-01-01 10:00:00,Kalibaru River,134.92,165.08,2.134,AMAN,SEDANG,1.3,84.3,27.5,NORMAL,-8.174587,114.377306
2024-01-01 11:00:00,Kalibaru River,131.81,168.19,1.797,AMAN,SEDANG,0.0,88.4,27.2,NORMAL,-8.230766,114.354555
2024-01-01 12:00:00,Kalibaru River,80.76,219.24,2.805,BANJIR,TINGGI,4.5,90.1,30.5,NORMAL,-8.280328,114.33591
2024-01-01 13:00:00,Kalibaru River,60.23,239.77,4.225,BANJIR,TINGGI,13.3,66.0,31.4,NORMAL,-8.128605,114.313677
2024-01-01 14:00:00,Kalibaru River,49.54,250.46,3.58,BANJIR,TINGGI,9.1,63.0,28.1,NORMAL,-8.289766,114.298838
2024-01-01 15:00:00,Kalibaru River,95.21,204.79,3.175,BANJIR,TINGGI,13.4,94.4,24.5,NORMAL,-8.159383,114.437253
2024-01-01 16:00:00,Kalibaru River,144.12,155.88,2.281,AMAN,SEDANG,4.9,94.8,25.0,NORMAL,-8.212536,114.340131
2024-01-01 17:00:00,Kalibaru River,93.04,206.96,2.548,BANJIR,TINGGI,11.2,83.6,25.5,NORMAL,-8.168911,114.310721
2024-01-01 18:00:00,Kalibaru River,64.17,235.83,3.96,BANJIR,TINGGI,0.0,80.4,25.1,NORMAL,-8.277571,114.456262
2024-01-01 19:00:00,Kalibaru River,43.8,256.2,4.401,BANJIR,TINGGI,7.7,67.4,26.2,NORMAL,-8.239369,114.42235
2024-01-01 20:00:00,Kalibaru River,58.0,242.0,4.4,BANJIR,TINGGI,0.7,78.3,29.7,NORMAL,-8.193834,114.419689
2024-01-01 21:00:00,Kalibaru River,127.7,172.3,2.158,AMAN,SEDANG,0.0,72.5,26.4,ERROR,-8.152694,114.297957
2024-01-01 22:00:00,Kalibaru River,87.2,212.8,3.254,BANJIR,TINGGI,0.7,85.0,29.0,NORMAL,-8.229034,114.39868
2024-01-01 23:00:00,Kalibaru River,149.38,150.62,1.63,AMAN,SEDANG,0.0,61.3,28.8,NORMAL,-8.196372,114.390579
2024-01-02 00:00:00,Kalibaru River,141.57,158.43,1.764,AMAN,SEDANG,7.1,80.4,29.4,NORMAL,-8.126304,114.428715
2024-01-02 01:00:00,Kalibaru River,130.17,169.83,1.781,AMAN,SEDANG,5.9,86.9,27.2,NORMAL,-8.227545,114.467234
