timestamp,river_name,sensor_distance_cm,water_height_cm,water_flow_m3s,flood_status,flood_level,rainfall_mm,humidity_pct,temperature_c,sensor_status,latitude,longitude
2024-01-01 00:00:00,Mayang River,128.62,171.38,2.21,AMAN,SEDANG,0.3,78.9,24.6,NORMAL,-8.1267,114.350614
2024-01-01 01:00:00,Mayang River,141.43,158.57,2.042,AMAN,SEDANG,2.0,88.3,28.9,NORMAL,-8.169548,114.357988
2024-01-01 02:00:00,Mayang River,123.28,176.72,1.963,AMAN,SEDANG,10.5,76.4,27.0,NORMAL,-8.241259,114.332978
2024-01-01 03:00:00,Mayang River,133.48,166.52,1.938,AMAN,SEDANG,3.5,74.8,25.3,NORMAL,-8.241433,114.272282
2024-01-01 04:00:00,Mayang River,140.92,159.08,2.004,AMAN,SEDANG,3.6,63.8,26.1,NORMAL,-8.136305,114.461391
2024-01-01 05:00:00,Mayang River,59.22,240.78,3.621,BANJIR,TINGGI,11.0,72.1,24.8,NORMAL,-8.23196,114.408458
2024-01-01 06:00:00,Mayang River,93.78,206.22,2.413,BANJIR,TINGGI,22.6,69.4,30.9,NORMAL,-8.235122,114.299827
2024-01-01 07:00:00,Mayang River,108.65,191.35,2.295,AMAN,SEDANG,0.0,78.2,28.3,NORMAL,-8.207637,114.379308
2024-01-01 08:00:00,Mayang River,90.7,209.3,2.658,BANJIR,TINGGI,0.5,72.2,26.8,NORMAL,-8.302148,114.411331
2024-01-01 09:00:00,Mayang River,60.04,239.96,3.215,BANJIR,TINGGI,6.7,89.4,24.2,NORMAL,-8.267414,114.422019
2024-01-01 10:00:00,Mayang River,142.89,157.11,2.032,AMAN,SEDANG,6.0,78.5,30.2,NORMAL,-8.211976,114.339106
2024-01-01 11:00:00,Mayang River,146.46,153.54,1.985,AMAN,SEDANG,24.8,84.5,31.6,NORMAL,-8.12091,114.279304
2024-01-01 12:00:00,Mayang River,70.52,229.48,3.466,BANJIR,TINGGI,13.2,73.2,28.7,NORMAL,-8.2526,114.436623
2024-01-01 13:00:00,Mayang River,93.43,206.57,2.464,BANJIR,TINGGI,9.3,88.5,28.4,NORMAL,-8.180224,114.404855
2024-01-01 14:00:00,Mayang River,55.31,244.69,3.241,BANJIR,TINGGI,9.8,65.8,30.2,NORMAL,-8.260931,114.448946
2024-01-01 15:00:00,Mayang River,110.95,189.05,2.89,AMAN,SEDANG,9.4,63.1,28.1,NORMAL,-8.314663,114.370867
2024-01-01 16:00:00,Mayang River,142.59,157.41,1.774,AMAN,SEDANG,10.6,67.6,29.3,NORMAL,-8.179127,114.308556
