timestamp,river_name,sensor_distance_cm,water_height_cm,water_flow_m3s,flood_status,flood_level,rainfall_mm,humidity_pct,temperature_c,sensor_status,latitude,longitude
2024-01-01 00:00:00,Sobo River,100.53,199.47,2.609,AMAN,SEDANG,12.7,94.6,26.3,NORMAL,-8.166999,114.364716
2024-01-01 01:00:00,Sobo River,122.39,177.61,2.272,AMAN,SEDANG,1.5,72.7,26.2,NORMAL,-8.184951,114.410436
2024-01-01 02:00:00,Sobo River,108.06,191.94,2.485,AMAN,SEDANG,13.5,92.9,26.8,NORMAL,-8.261687,114.428538
2024-01-01 03:00:00,Sobo River,65.19,234.81,3.51,BANJIR,TINGGI,4.6,79.6,25.6,ERROR,-8.212485,114.302054
2024-01-01 04:00:00,Sobo River,80.95,219.05,2.94,BANJIR,TINGGI,0.0,88.2,31.8,NORMAL,-8.142972,114.342738
2024-01-01 05:00:00,Sobo River,145.05,154.95,1.713,AMAN,SEDANG,0.0,91.9,25.3,NORMAL,-8.223781,114.302009
2024-01-01 06:00:00,Sobo River,104.56,195.44,3.177,AMAN,SEDANG,14.2,86.9,28.0,NORMAL,-8.190234,114.376408
2024-01-01 07:00:00,Sobo River,124.95,175.05,2.358,AMAN,SEDANG,9.9,82.2,31.6,NORMAL,-8.14555,114.335383
2024-01-01 08:00:00,Sobo River,73.01,226.99,3.955,BANJIR,TINGGI,2.0,85.2,25.0,NORMAL,-8.128497,114.447687
2024-01-01 09:00:00,Sobo River,123.25,176.75,2.27,AMAN,SEDANG,3.8,61.5,28.9,NORMAL,-8.205415,114.351972
2024-01-01 10:00:00,Sobo River,81.6,218.4,2.819,BANJIR,TINGGI,10.2,83.7,28.1,NORMAL,-8.182829,114.407226
2024-01-01 11:00:00,Sobo River,124.48,175.52,2.372,AMAN,SEDANG,1.2,94.2,26.1,NORMAL,-8.235412,114.404706
2024-01-01 12:00:00,Sobo River,71.13,228.87,2.956,BANJIR,TINGGI,7.7,93.3,31.4,NORMAL,-8.195212,114.297295
2024-01-01 13:00:00,Sobo River,141.19,158.81,2.388,AMAN,SEDANG,13.8,73.4,24.5,NORMAL,-8.237459,114.450136
2024-01-01 14:00:00,Sobo River,96.55,203.45,2.486,BANJIR,TINGGI,13.4,87.7,32.0,NORMAL,-8.119543,114.454337
2024-01-01 15:00:00,Sobo River,111.92,188.08,2.724,AMAN,SEDANG,0.0,65.3,31.7,NORMAL,-8.306922,114.451343
2024-01-01 16:00:00,Sobo River,170.23,129.77,1.342,AMAN,RENDAH,0.0,72.2,29.2,NORMAL,-8.285383,114.403546
2024-01-01 17:00:00,Sobo River,98.99,201.01,2.683,BANJIR,TINGGI,8.5,75.5,24.6,NORMAL,-8.288047,114.287813
2024-01-01 18:00:00,Sobo River,100.61,199.39,2.907,AMAN,SEDANG,0.0,71.7,26.6,NORMAL,-8.293502,114.376148
2024-01-01 19:00:00,Sobo River,111.09,188.91,2.316,AMAN,SEDANG,10.4,73.4,29.3,NORMAL,-8.180373,114.389513
2024-01-01 20:00:00,Sobo River,63.82,236.18,3.567,BANJIR,TINGGI,16.0,87.2,24.6,NORMAL,-8.171563,114.276258
2024-01-01 21:00:00,Sobo River,136.61,163.39,2.455,AMAN,SEDANG,0.0,76.8,29.3,NORMAL,-8.209973,114.315715
2024-01-01 22:00:00,Sobo River,127.32,172.68,2.481,AMAN,SEDANG,9.7,68.5,31.4,ERROR,-8.12258,114.336854
2024-01-01 23:00:00,Sobo River,117.42,182.58,2.874,AMAN,SEDANG,7.3,61.0,25.7,NORMAL,-8.140727,114.376513
2024-01-02 00:00:00,Sobo River,78.83,221.17,3.787,BANJIR,TINGGI,10.8,92.7,25.4,NORMAL,-8.149937,114.409946
2024-01-02 01:00:00,Sobo River,145.13,154.87,1.695,AMAN,SEDANG,0.0,80.9,29.7,NORMAL,-8.185192,114.40734
2024-01-02 02:00:00,Sobo River,89.43,210.57,3.334,BANJIR,TINGGI,7.0,69.7,29.0,NORMAL,-8.172018,114.316588
2024-01-02 03:00:00,Sobo River,61.63,238.37,3.386,BANJIR,TINGGI,1.6,64.1,26.3,NORMAL,-8.224396,114.354506
2024-01-02 04:00:00,Sobo River,145.11,154.89,1.544,AMAN,SEDANG,11.9,65.4,30.0,ERROR,-8.318371,114.271246
2024-01-02 05:00:00,Sobo River,111.82,188.18,2.937,AMAN,SEDANG,2.5,67.2,31.0,NORMAL,-8.217253,114.458142
2024-01-02 06:00:00,Sobo River,61.51,238.49,4.302,BANJIR,TINGGI,4.2,87.7,28.7,NORMAL,-8.139596,114.455454
2024-01-02 07:00:00,Sobo River,120.2,179.8,2.687,AMAN,SEDANG,0.0,82.9,28.2,NORMAL,-8.222257,114.300159
2024-01-02 08:00:00,Sobo River,97.65,202.35,2.629,BANJIR,TINGGI,7.8,75.8,30.5,NORMAL,-8.295812,114.377689
2024-01-02 09:00:00,Sobo River,58.9,241.1,4.347,BANJIR,TINGGI,0.0,90.2,30.5,NORMAL,-8.21384,114.285255
2024-01-02 10:00:00,Sobo River,42.95,257.05,3.864,BANJIR,TINGGI,7.6,71.5,25.2,NORMAL,-8.175804,114.313665
2024-01-02 11:00:00,Sobo River,84.04,215.96,2.781,BANJIR,TINGGI,18.6,88.8,28.3,NORMAL,-8.177903,114.392258
