timestamp,river_name,sensor_distance_cm,water_height_cm,water_flow_m3s,flood_status,flood_level,rainfall_mm,humidity_pct,temperature_c,sensor_status,latitude,longitude
2024-01-01 00:00:00,Sungai_Kalibendo,106.96,193.04,68.782,WASPADA,SEDANG,0.0,73.9,26.1,NORMAL,-8.2156,114.3452
2024-01-01 01:00:00,Sungai_Kalibendo,124.27,175.73,59.814,WASPADA,SEDANG,5.0,71.7,28.3,NORMAL,-8.2156,114.3452
2024-01-01 02:00:00,Sungai_Kalibendo,112.84,187.16,65.701,WASPADA,SEDANG,3.5,69.0,24.4,NORMAL,-8.2156,114.3452
2024-01-01 03:00:00,Sungai_Kalibendo,131.43,168.57,56.206,WASPADA,SEDANG,0.0,70.6,25.6,NORMAL,-8.2156,114.3452
2024-01-01 04:00:00,Sungai_Kalibendo,51.94,248.06,99.284,BANJIR,TINGGI,2.9,75.3,24.2,NORMAL,-8.2156,114.3452
2024-01-01 05:00:00,Sungai_Kalibendo,51.89,248.11,99.316,BANJIR,TINGGI,0.6,74.9,25.4,NORMAL,-8.2156,114.3452
2024-01-01 06:00:00,Sungai_Kalibendo,76.31,223.69,85.434,BANJIR,TINGGI,0.0,65.1,27.1,NORMAL,-8.2156,114.3452
2024-01-01 07:00:00,Sungai_Kalibendo,65.74,234.26,91.378,BANJIR,TINGGI,0.0,70.1,29.8,NORMAL,-8.2156,114.3452
2024-01-01 08:00:00,Sungai_Kalibendo,81.28,218.72,82.67,BANJIR,TINGGI,0.0,73.4,27.5,NORMAL,-8.2156,114.3452
2024-01-01 09:00:00,Sungai_Kalibendo,59.05,240.95,95.189,BANJIR,TINGGI,0.3,77.1,28.7,NORMAL,-8.2156,114.3452
2024-01-01 10:00:00,Sungai_Kalibendo,68.6,231.4,89.758,BANJIR,TINGGI,1.4,66.0,29.3,NORMAL,-8.2156,114.3452
2024-01-01 11:00:00,Sungai_Kalibendo,101.0,199.0,71.948,WASPADA,SEDANG,0.8,67.5,26.5,NORMAL,-8.2156,114.3452
2024-01-01 12:00:00,Sungai_Kalibendo,73.73,226.27,86.876,BANJIR,TINGGI,1.0,68.1,30.6,NORMAL,-8.2156,114.3452
2024-01-01 13:00:00,Sungai_Kalibendo,96.64,203.36,74.288,BANJIR,TINGGI,6.2,75.6,30.2,NORMAL,-8.2156,114.3452
2024-01-01 14:00:00,Sungai_Kalibendo,113.08,186.92,65.574,WASPADA,SEDANG,3.1,69.7,31.5,NORMAL,-8.2156,114.3452
2024-01-01 15:00:00,Sungai_Kalibendo,90.58,209.42,77.565,BANJIR,TINGGI,1.1,67.7,32.4,NORMAL,-8.2156,114.3452
2024-01-01 16:00:00,Sungai_Kalibendo,75.19,224.81,86.058,BANJIR,TINGGI,0.0,73.7,28.5,NORMAL,-8.2156,114.3452
2024-01-01 17:00:00,Sungai_Kalibendo,117.52,182.48,63.27,WASPADA,SEDANG,3.5,80.5,28.1,NORMAL,-8.2156,114.3452
2024-01-01 18:00:00,Sungai_Kalibendo,45.01,254.99,103.313,BANJIR,TINGGI,0.7,67.1,27.2,NORMAL,-8.2156,114.3452
2024-01-01 19:00:00,Sungai_Kalibendo,124.32,175.68,59.789,WASPADA,SEDANG,1.4,72.1,26.2,NORMAL,-8.2156,114.3452
2024-01-01 20:00:00,Sungai_Kalibendo,66.75,233.25,90.804,BANJIR,TINGGI,3.7,68.1,28.8,NORMAL,-8.2156,114.3452
2024-01-01 21:00:00,Sungai_Kalibendo,73.04,226.96,87.261,BANJIR,TINGGI,1.8,79.8,26.1,NORMAL,-8.2156,114.3452
2024-01-01 22:00:00,Sungai_Kalibendo,100.69,199.31,72.111,WASPADA,SEDANG,0.0,73.1,28.3,NORMAL,-8.2156,114.3452
2024-01-01 23:00:00,Sungai_Kalibendo,57.1,242.9,96.308,BANJIR,TINGGI,2.1,79.7,26.3,NORMAL,-8.2156,114.3452
2024-01-02 00:00:00,Sungai_Kalibendo,70.15,229.85,88.888,BANJIR,TINGGI,2.8,80.0,26.6,NORMAL,-8.2156,114.3452
2024-01-02 01:00:00,Sungai_Kalibendo,63.5,236.5,92.649,BANJIR,TINGGI,3.6,72.5,28.5,NORMAL,-8.2156,114.3452
2024-01-02 02:00:00,Sungai_Kalibendo,46.43,253.57,102.485,BANJIR,TINGGI,3.6,75.4,25.5,NORMAL,-8.2156,114.3452
2024-01-02 03:00:00,Sungai_Kalibendo,75.89,224.11,85.668,BANJIR,TINGGI,0.0,69.4,23.7,NORMAL,-8.2156,114.3452
2024-01-02 04:00:00,Sungai_Kalibendo,127.97,172.03,57.942,WASPADA,SEDANG,0.0,69.7,23.4,NORMAL,-8.2156,114.3452
2024-01-02 05:00:00,Sungai_Kalibendo,131.03,168.97,56.405,WASPADA,SEDANG,0.0,74.2,25.9,NORMAL,-8.2156,114.3452
2024-01-02 06:00:00,Sungai_Kalibendo,65.33,234.67,91.61,BANJIR,TINGGI,5.8,78.5,29.3,NORMAL,-8.2156,114.3452
2024-01-02 07:00:00,Sungai_Kalibendo,46.1,253.9,102.679,BANJIR,TINGGI,0.1,70.1,26.4,NORMAL,-8.2156,114.3452
2024-01-02 08:00:00,Sungai_Kalibendo,179.27,120.73,33.859,AMAN,RENDAH,14.7,75.8,27.3,NORMAL,-8.2156,114.3452
2024-01-02 09:00:00,Sungai_Kalibendo,50.17,249.83,100.312,BANJIR,TINGGI,2.6,79.3,28.6,NORMAL,-8.2156,114.3452
2024-01-02 10:00:00,Sungai_Kalibendo,129.58,170.42,57.133,WASPADA,SEDANG,3.8,80.9,28.8,NORMAL,-8.2156,114.3452
2024-01-02 11:00:00,Sungai_Kalibendo,206.35,93.65,22.843,AMAN,RENDAH,22.0,85.8,27.8,NORMAL,-8.2156,114.3452
2024-01-02 12:00:00,Sungai_Kalibendo,63.61,236.39,92.59,BANJIR,TINGGI,0.0,76.0,29.6,NORMAL,-8.2156,114.3452
2024-01-02 13:00:00,Sungai_Kalibendo,52.6,247.4,98.903,BANJIR,TINGGI,1.1,76.5,29.0,NORMAL,-8.2156,114.3452
2024-01-02 14:00:00,Sungai_Kalibendo,72.43,227.57,87.603,BANJIR,TINGGI,4.8,67.5,29.3,NORMAL,-8.2156,114.3452
2024-01-02 15:00:00,Sungai_Kalibendo,61.36,238.64,93.868,BANJIR,TINGGI,0.1,68.8,32.9,NORMAL,-8.2156,114.3452
2024-01-02 16:00:00,Sungai_Kalibendo,97.64,202.36,73.748,BANJIR,TINGGI,2.4,78.0,26.7,NORMAL,-8.2156,114.3452
2024-01-02 17:00:00,Sungai_Kalibendo,130.02,169.98,56.91,WASPADA,SEDANG,3.6,79.6,28.6,NORMAL,-8.2156,114.3452
2024-01-02 18:00:00,Sungai_Kalibendo,68.66,231.34,89.725,BANJIR,TINGGI,5.0,78.2,26.2,NORMAL,-8.2156,114.3452
2024-01-02 19:00:00,Sungai_Kalibendo,127.45,172.55,58.204,WASPADA,SEDANG,2.4,66.9,28.6,NORMAL,-8.2156,114.3452
2024-01-02 20:00:00,Sungai_Kalibendo,175.67,124.33,35.42,AMAN,RENDAH,23.4,87.1,28.8,NORMAL,-8.2156,114.3452
2024-01-02 21:00:00,Sungai_Kalibendo,45.3,254.7,103.145,BANJIR,TINGGI,4.6,67.8,27.0,NORMAL,-8.2156,114.3452
2024-01-02 22:00:00,Sungai_Kalibendo,49.04,250.96,100.964,BANJIR,TINGGI,5.1,77.9,29.3,NORMAL,-8.2156,114.3452
2024-01-02 23:00:00,Sungai_Kalibendo,55.16,244.84,97.424,BANJIR,TINGGI,0.6,72.9,26.8,NORMAL,-8.2156,114.3452
2024-01-03 00:00:00,Sungai_Kalibendo,200.35,99.65,25.164,AMAN,RENDAH,14.1,73.4,29.7,NORMAL,-8.2156,114.3452
2024-01-03 01:00:00,Sungai_Kalibendo,55.61,244.39,97.167,BANJIR,TINGGI,3.8,76.6,26.8,NORMAL,-8.2156,114.3452
2024-01-03 02:00:00,Sungai_Kalibendo,101.19,198.81,71.848,WASPADA,SEDANG,1.6,74.4,25.3,NORMAL,-8.2156,114.3452
2024-01-03 03:00:00,Sungai_Kalibendo,83.91,216.09,81.219,BANJIR,TINGGI,4.8,82.1,22.8,NORMAL,-8.2156,114.3452
2024-01-03 04:00:00,Sungai_Kalibendo,62.88,237.12,93.005,BANJIR,TINGGI,1.6,71.3,23.5,NORMAL,-8.2156,114.3452
2024-01-03 05:00:00,Sungai_Kalibendo,72.38,227.62,87.63,BANJIR,TINGGI,0.2,75.0,22.4,NORMAL,-8.2156,114.3452
2024-01-03 06:00:00,Sungai_Kalibendo,125.01,174.99,59.439,WASPADA,SEDANG,2.3,72.5,28.2,NORMAL,-8.2156,114.3452
2024-01-03 07:00:00,Sungai_Kalibendo,111.5,188.5,66.398,WASPADA,SEDANG,4.3,69.5,29.3,ERROR,-8.2156,114.3452
2024-01-03 08:00:00,Sungai_Kalibendo,59.72,240.28,94.805,BANJIR,TINGGI,0.6,70.9,29.0,NORMAL,-8.2156,114.3452
