timestamp,river_name,sensor_distance_cm,water_height_cm,water_flow_m3s,flood_status,flood_level,rainfall_mm,humidity_pct,temperature_c,sensor_status,latitude,longitude
2024-01-01 00:00:00,Sungai_Setail,99.51,200.49,72.743,BANJIR,TINGGI,1.9,77.5,27.3,NORMAL,-8.1987,114.3891
2024-01-01 01:00:00,Sungai_Setail,137.78,162.22,53.059,WASPADA,SEDANG,4.2,80.6,28.5,NORMAL,-8.1987,114.3891
2024-01-01 02:00:00,Sungai_Setail,107.78,192.22,68.353,WASPADA,SEDANG,4.7,71.7,22.8,NORMAL,-8.1987,114.3891
2024-01-01 03:00:00,Sungai_Setail,54.61,245.39,97.745,BANJIR,TINGGI,6.4,79.3,25.2,NORMAL,-8.1987,114.3891
2024-01-01 04:00:00,Sungai_Setail,56.87,243.13,96.442,BANJIR,TINGGI,1.9,79.2,25.9,NORMAL,-8.1987,114.3891
2024-01-01 05:00:00,Sungai_Setail,72.26,227.74,87.7,BANJIR,TINGGI,3.4,68.1,23.5,NORMAL,-8.1987,114.3891
2024-01-01 06:00:00,Sungai_Setail,48.49,251.51,101.288,BANJIR,TINGGI,2.2,81.0,28.7,NORMAL,-8.1987,114.3891
2024-01-01 07:00:00,Sungai_Setail,69.45,230.55,89.279,BANJIR,TINGGI,4.7,80.6,27.0,NORMAL,-8.1987,114.3891
2024-01-01 08:00:00,Sungai_Setail,99.94,200.06,72.515,BANJIR,TINGGI,3.4,80.3,27.8,NORMAL,-8.1987,114.3891
2024-01-01 09:00:00,Sungai_Setail,70.29,229.71,88.804,BANJIR,TINGGI,0.0,68.9,28.5,NORMAL,-8.1987,114.3891
2024-01-01 10:00:00,Sungai_Setail,137.38,162.62,53.257,WASPADA,SEDANG,20.6,80.8,27.9,ERROR,-8.1987,114.3891
2024-01-01 11:00:00,Sungai_Setail,98.76,201.24,73.146,BANJIR,TINGGI,5.5,71.1,29.7,NORMAL,-8.1987,114.3891
2024-01-01 12:00:00,Sungai_Setail,73.89,226.11,86.787,BANJIR,TINGGI,8.0,77.6,30.6,NORMAL,-8.1987,114.3891
2024-01-01 13:00:00,Sungai_Setail,106.45,193.55,69.054,WASPADA,SEDANG,6.4,68.6,29.0,NORMAL,-8.1987,114.3891
2024-01-01 14:00:00,Sungai_Setail,144.48,155.52,49.793,WASPADA,SEDANG,5.5,69.9,30.8,NORMAL,-8.1987,114.3891
2024-01-01 15:00:00,Sungai_Setail,62.03,237.97,93.491,BANJIR,TINGGI,0.0,75.2,29.7,NORMAL,-8.1987,114.3891
2024-01-01 16:00:00,Sungai_Setail,118.46,181.54,62.789,WASPADA,SEDANG,7.7,78.3,29.8,NORMAL,-8.1987,114.3891
2024-01-01 17:00:00,Sungai_Setail,93.96,206.04,75.731,BANJIR,TINGGI,5.2,70.2,27.4,NORMAL,-8.1987,114.3891
2024-01-01 18:00:00,Sungai_Setail,129.5,170.5,57.172,WASPADA,SEDANG,0.0,74.8,26.8,NORMAL,-8.1987,114.3891
2024-01-01 19:00:00,Sungai_Setail,116.93,183.07,63.579,WASPADA,SEDANG,1.3,74.8,26.5,NORMAL,-8.1987,114.3891
2024-01-01 20:00:00,Sungai_Setail,62.56,237.44,93.183,BANJIR,TINGGI,1.0,74.8,27.5,NORMAL,-8.1987,114.3891
2024-01-01 21:00:00,Sungai_Setail,82.83,217.17,81.812,BANJIR,TINGGI,5.3,76.6,28.3,NORMAL,-8.1987,114.3891
2024-01-01 22:00:00,Sungai_Setail,116.41,183.59,63.845,WASPADA,SEDANG,1.5,72.5,28.2,NORMAL,-8.1987,114.3891
2024-01-01 23:00:00,Sungai_Setail,118.77,181.23,62.627,WASPADA,SEDANG,2.1,79.7,30.0,NORMAL,-8.1987,114.3891
2024-01-02 00:00:00,Sungai_Setail,98.75,201.25,73.152,BANJIR,TINGGI,3.7,75.3,29.4,NORMAL,-8.1987,114.3891
2024-01-02 01:00:00,Sungai_Setail,217.97,82.03,18.561,AMAN,RENDAH,10.2,74.8,26.5,NORMAL,-8.1987,114.3891
2024-01-02 02:00:00,Sungai_Setail,149.8,150.2,47.242,WASPADA,SEDANG,1.4,74.9,24.5,NORMAL,-8.1987,114.3891
2024-01-02 03:00:00,Sungai_Setail,57.37,242.63,96.156,BANJIR,TINGGI,5.8,75.5,25.1,ERROR,-8.1987,114.3891
2024-01-02 04:00:00,Sungai_Setail,127.17,172.83,58.347,WASPADA,SEDANG,4.0,79.9,24.5,NORMAL,-8.1987,114.3891
