timestamp,river_name,sensor_distance_cm,water_height_cm,water_flow_m3s,flood_status,flood_level,rainfall_mm,humidity_pct,temperature_c,sensor_status,latitude,longitude
2024-01-01 00:00:00,Sungai_Sukowidi,116.44,183.56,63.829,WASPADA,SEDANG,0.5,73.6,30.0,NORMAL,-8.2345,114.3216
2024-01-01 01:00:00,Sungai_Sukowidi,57.26,242.74,96.218,BANJIR,TINGGI,0.0,71.7,29.9,NORMAL,-8.2345,114.3216
2024-01-01 02:00:00,Sungai_Sukowidi,109.3,190.7,67.55,WASPADA,SEDANG,0.2,66.3,23.5,NORMAL,-8.2345,114.3216
2024-01-01 03:00:00,Sungai_Sukowidi,81.92,218.08,82.319,BANJIR,TINGGI,1.2,80.1,24.1,NORMAL,-8.2345,114.3216
2024-01-01 04:00:00,Sungai_Sukowidi,76.74,223.26,85.19,BANJIR,TINGGI,0.0,70.6,25.9,NORMAL,-8.2345,114.3216
2024-01-01 05:00:00,Sungai_Sukowidi,98.05,201.95,73.529,BANJIR,TINGGI,4.0,72.4,22.7,NORMAL,-8.2345,114.3216
2024-01-01 06:00:00,Sungai_Sukowidi,106.94,193.06,68.795,WASPADA,SEDANG,4.7,81.5,27.6,NORMAL,-8.2345,114.3216
2024-01-01 07:00:00,Sungai_Sukowidi,92.56,207.44,76.49,BANJIR,TINGGI,1.8,67.6,28.5,NORMAL,-8.2345,114.3216
2024-01-01 08:00:00,Sungai_Sukowidi,63.71,236.29,92.533,BANJIR,TINGGI,2.9,77.1,29.9,NORMAL,-8.2345,114.3216
2024-01-01 09:00:00,Sungai_Sukowidi,51.63,248.37,99.465,BANJIR,TINGGI,1.1,79.6,28.5,NORMAL,-8.2345,114.3216
2024-01-01 10:00:00,Sungai_Sukowidi,83.64,216.36,81.367,BANJIR,TINGGI,0.0,68.5,29.4,NORMAL,-8.2345,114.3216
2024-01-01 11:00:00,Sungai_Sukowidi,52.99,247.01,98.678,BANJIR,TINGGI,0.3,68.4,28.7,NORMAL,-8.2345,114.3216
2024-01-01 12:00:00,Sungai_Sukowidi,80.26,219.74,83.233,BANJIR,TINGGI,5.3,80.4,30.3,NORMAL,-8.2345,114.3216
2024-01-01 13:00:00,Sungai_Sukowidi,70.24,229.76,88.832,BANJIR,TINGGI,4.2,76.8,32.6,NORMAL,-8.2345,114.3216
2024-01-01 14:00:00,Sungai_Sukowidi,46.86,253.14,102.237,BANJIR,TINGGI,5.2,73.2,32.8,NORMAL,-8.2345,114.3216
2024-01-01 15:00:00,Sungai_Sukowidi,90.28,209.72,77.729,BANJIR,TINGGI,6.8,79.1,29.8,NORMAL,-8.2345,114.3216
2024-01-01 16:00:00,Sungai_Sukowidi,109.69,190.31,67.35,WASPADA,SEDANG,3.7,73.6,29.9,NORMAL,-8.2345,114.3216
2024-01-01 17:00:00,Sungai_Sukowidi,83.86,216.14,81.245,BANJIR,TINGGI,5.4,82.6,29.8,NORMAL,-8.2345,114.3216
2024-01-01 18:00:00,Sungai_Sukowidi,94.64,205.36,75.365,BANJIR,TINGGI,0.5,79.9,28.1,NORMAL,-8.2345,114.3216
2024-01-01 19:00:00,Sungai_Sukowidi,72.91,227.09,87.334,BANJIR,TINGGI,0.0,74.7,28.8,NORMAL,-8.2345,114.3216
2024-01-01 20:00:00,Sungai_Sukowidi,117.74,182.26,63.159,WASPADA,SEDANG,6.3,71.9,28.2,NORMAL,-8.2345,114.3216
2024-01-01 21:00:00,Sungai_Sukowidi,93.38,206.62,76.045,BANJIR,TINGGI,0.0,76.8,27.0,NORMAL,-8.2345,114.3216
2024-01-01 22:00:00,Sungai_Sukowidi,66.6,233.4,90.888,BANJIR,TINGGI,2.2,80.7,29.6,NORMAL,-8.2345,114.3216
2024-01-01 23:00:00,Sungai_Sukowidi,110.11,189.89,67.125,WASPADA,SEDANG,1.5,74.7,26.9,NORMAL,-8.2345,114.3216
2024-01-02 00:00:00,Sungai_Sukowidi,63.07,236.93,92.894,BANJIR,TINGGI,7.6,82.3,26.9,NORMAL,-8.2345,114.3216
2024-01-02 01:00:00,Sungai_Sukowidi,56.67,243.33,96.555,BANJIR,TINGGI,0.5,66.4,26.2,NORMAL,-8.2345,114.3216
2024-01-02 02:00:00,Sungai_Sukowidi,88.57,211.43,78.662,BANJIR,TINGGI,0.0,77.2,24.0,NORMAL,-8.2345,114.3216
2024-01-02 03:00:00,Sungai_Sukowidi,98.55,201.45,73.261,BANJIR,TINGGI,1.9,69.8,24.5,NORMAL,-8.2345,114.3216
2024-01-02 04:00:00,Sungai_Sukowidi,112.65,187.35,65.799,WASPADA,SEDANG,0.0,75.4,23.3,NORMAL,-8.2345,114.3216
2024-01-02 05:00:00,Sungai_Sukowidi,62.54,237.46,93.197,BANJIR,TINGGI,2.5,74.4,22.0,NORMAL,-8.2345,114.3216
2024-01-02 06:00:00,Sungai_Sukowidi,131.88,168.12,55.982,WASPADA,SEDANG,20.7,85.3,28.8,NORMAL,-8.2345,114.3216
2024-01-02 07:00:00,Sungai_Sukowidi,79.74,220.26,83.527,BANJIR,TINGGI,0.0,69.5,28.6,NORMAL,-8.2345,114.3216
2024-01-02 08:00:00,Sungai_Sukowidi,113.83,186.17,65.183,WASPADA,SEDANG,3.3,70.3,27.4,NORMAL,-8.2345,114.3216
2024-01-02 09:00:00,Sungai_Sukowidi,70.26,229.74,88.826,BANJIR,TINGGI,2.8,75.7,27.5,NORMAL,-8.2345,114.3216
2024-01-02 10:00:00,Sungai_Sukowidi,97.32,202.68,73.918,BANJIR,TINGGI,2.9,68.0,26.5,NORMAL,-8.2345,114.3216
2024-01-02 11:00:00,Sungai_Sukowidi,50.45,249.55,100.147,BANJIR,TINGGI,0.9,70.7,26.8,NORMAL,-8.2345,114.3216
2024-01-02 12:00:00,Sungai_Sukowidi,72.75,227.25,87.423,BANJIR,TINGGI,0.0,72.9,30.4,NORMAL,-8.2345,114.3216
2024-01-02 13:00:00,Sungai_Sukowidi,58.46,241.54,95.527,BANJIR,TINGGI,1.4,73.0,31.3,NORMAL,-8.2345,114.3216
2024-01-02 14:00:00,Sungai_Sukowidi,50.06,249.94,100.371,BANJIR,TINGGI,0.0,67.7,29.8,ERROR,-8.2345,114.3216
2024-01-02 15:00:00,Sungai_Sukowidi,137.97,162.03,52.963,WASPADA,SEDANG,11.0,76.8,32.9,NORMAL,-8.2345,114.3216
2024-01-02 16:00:00,Sungai_Sukowidi,52.48,247.52,98.975,BANJIR,TINGGI,4.6,72.1,28.8,NORMAL,-8.2345,114.3216
2024-01-02 17:00:00,Sungai_Sukowidi,111.57,188.43,66.365,WASPADA,SEDANG,22.0,90.8,27.0,NORMAL,-8.2345,114.3216
2024-01-02 18:00:00,Sungai_Sukowidi,75.04,224.96,86.142,BANJIR,TINGGI,9.0,75.8,26.2,NORMAL,-8.2345,114.3216
2024-01-02 19:00:00,Sungai_Sukowidi,109.77,190.23,67.304,WASPADA,SEDANG,1.0,74.0,26.8,NORMAL,-8.2345,114.3216
2024-01-02 20:00:00,Sungai_Sukowidi,76.26,223.74,85.459,BANJIR,TINGGI,1.5,80.6,28.4,NORMAL,-8.2345,114.3216
2024-01-02 21:00:00,Sungai_Sukowidi,93.04,206.96,76.23,BANJIR,TINGGI,1.8,74.2,26.4,NORMAL,-8.2345,114.3216
2024-01-02 22:00:00,Sungai_Sukowidi,65.95,234.05,91.258,BANJIR,TINGGI,8.3,73.9,26.2,NORMAL,-8.2345,114.3216
2024-01-02 23:00:00,Sungai_Sukowidi,60.88,239.12,94.145,BANJIR,TINGGI,1.8,80.2,26.3,NORMAL,-8.2345,114.3216
2024-01-03 00:00:00,Sungai_Sukowidi,74.02,225.98,86.714,BANJIR,TINGGI,0.4,72.1,29.3,NORMAL,-8.2345,114.3216
2024-01-03 01:00:00,Sungai_Sukowidi,119.69,180.31,62.154,WASPADA,SEDANG,0.0,71.3,29.6,NORMAL,-8.2345,114.3216
2024-01-03 02:00:00,Sungai_Sukowidi,98.76,201.24,73.147,BANJIR,TINGGI,0.0,76.2,24.4,NORMAL,-8.2345,114.3216
2024-01-03 03:00:00,Sungai_Sukowidi,89.97,210.03,77.899,BANJIR,TINGGI,0.9,70.0,25.8,NORMAL,-8.2345,114.3216
2024-01-03 04:00:00,Sungai_Sukowidi,44.15,255.85,103.814,BANJIR,TINGGI,0.0,79.0,25.8,NORMAL,-8.2345,114.3216
2024-01-03 05:00:00,Sungai_Sukowidi,90.44,209.56,77.643,BANJIR,TINGGI,2.5,71.1,24.7,NORMAL,-8.2345,114.3216
2024-01-03 06:00:00,Sungai_Sukowidi,103.17,196.83,70.793,WASPADA,SEDANG,0.0,72.0,26.7,NORMAL,-8.2345,114.3216
2024-01-03 07:00:00,Sungai_Sukowidi,108.75,191.25,67.843,WASPADA,SEDANG,6.2,78.0,26.5,NORMAL,-8.2345,114.3216
2024-01-03 08:00:00,Sungai_Sukowidi,36.66,263.34,108.219,BANJIR,TINGGI,0.0,72.7,26.3,NORMAL,-8.2345,114.3216
