timestamp,river_name,sensor_distance_cm,water_height_cm,water_flow_m3s,flood_status,flood_level,rainfall_mm,humidity_pct,temperature_c,sensor_status,latitude,longitude
2024-01-01 00:00:00,Sungai_Watugede,142.04,157.96,50.977,WASPADA,SEDANG,7.5,69.6,29.5,NORMAL,-8.2251,114.3562
2024-01-01 01:00:00,Sungai_Watugede,71.88,228.12,87.913,BANJIR,TINGGI,1.2,68.0,29.2,NORMAL,-8.2251,114.3562
2024-01-01 02:00:00,Sungai_Watugede,117.33,182.67,63.369,WASPADA,SEDANG,5.1,74.3,25.4,NORMAL,-8.2251,114.3562
2024-01-01 03:00:00,Sungai_Watugede,77.66,222.34,84.681,BANJIR,TINGGI,4.1,70.4,25.5,NORMAL,-8.2251,114.3562
2024-01-01 04:00:00,Sungai_Watugede,119.78,180.22,62.11,WASPADA,SEDANG,3.2,76.9,22.9,NORMAL,-8.2251,114.3562
2024-01-01 05:00:00,Sungai_Watugede,134.2,165.8,54.826,WASPADA,SEDANG,1.5,78.0,24.1,NORMAL,-8.2251,114.3562
2024-01-01 06:00:00,Sungai_Watugede,51.58,248.42,99.491,BANJIR,TINGGI,0.0,79.8,29.0,NORMAL,-8.2251,114.3562
2024-01-01 07:00:00,Sungai_Watugede,100.77,199.23,72.072,WASPADA,SEDANG,1.8,80.2,27.2,NORMAL,-8.2251,114.3562
2024-01-01 08:00:00,Sungai_Watugede,83.96,216.04,81.192,BANJIR,TINGGI,0.0,66.7,28.0,NORMAL,-8.2251,114.3562
2024-01-01 09:00:00,Sungai_Watugede,174.43,125.57,35.963,AMAN,RENDAH,17.9,87.5,26.4,NORMAL,-8.2251,114.3562
2024-01-01 10:00:00,Sungai_Watugede,65.56,234.44,91.478,BANJIR,TINGGI,3.6,72.0,27.2,NORMAL,-8.2251,114.3562
2024-01-01 11:00:00,Sungai_Watugede,85.08,214.92,80.574,BANJIR,TINGGI,0.0,70.5,27.3,NORMAL,-8.2251,114.3562
2024-01-01 12:00:00,Sungai_Watugede,94.98,205.02,75.178,BANJIR,TINGGI,8.1,78.5,30.4,NORMAL,-8.2251,114.3562
2024-01-01 13:00:00,Sungai_Watugede,109.21,190.79,67.601,WASPADA,SEDANG,0.0,77.0,29.2,NORMAL,-8.2251,114.3562
