timestamp,river_name,sensor_distance_cm,water_height_cm,water_flow_m3s,flood_status,flood_level,rainfall_mm,humidity_pct,temperature_c,sensor_status,latitude,longitude
2024-01-01 00:00:00,Sungai_Bajulmati,173.2,126.8,36.503,AMAN,RENDAH,13.9,75.2,28.0,NORMAL,-8.1892,114.3678
2024-01-01 06:00:00,Sungai_Bajulmati,135.48,164.52,54.194,WASPADA,SEDANG,0.7,68.5,29.8,NORMAL,-8.1892,114.3678
2024-01-01 12:00:00,Sungai_Bajulmati,159.04,140.96,42.908,AMAN,RENDAH,3.6,73.9,31.2,NORMAL,-8.1892,114.3678
2024-01-01 18:00:00,Sungai_Bajulmati,163.45,136.55,40.879,AMAN,RENDAH,4.2,74.4,26.9,NORMAL,-8.1892,114.3678
2024-01-02 00:00:00,Sungai_Bajulmati,61.73,238.27,93.659,BANJIR,TINGGI,4.7,82.2,28.6,NORMAL,-8.1892,114.3678
2024-01-02 06:00:00,Sungai_Bajulmati,153.74,146.26,45.377,AMAN,RENDAH,4.4,79.4,27.8,NORMAL,-8.1892,114.3678
2024-01-02 12:00:00,Sungai_Bajulmati,88.55,211.45,78.675,BANJIR,TINGGI,1.6,72.9,32.6,NORMAL,-8.1892,114.3678
2024-01-02 18:00:00,Sungai_Bajulmati,125.63,174.37,59.123,WASPADA,SEDANG,0.0,69.1,27.3,NORMAL,-8.1892,114.3678
2024-01-03 00:00:00,Sungai_Bajulmati,100.51,199.49,72.208,WASPADA,SEDANG,5.5,77.5,29.0,NORMAL,-8.1892,114.3678
2024-01-03 06:00:00,Sungai_Bajulmati,144.58,155.42,49.742,WASPADA,SEDANG,1.4,78.5,26.7,NORMAL,-8.1892,114.3678
2024-01-03 12:00:00,Sungai_Bajulmati,110.19,189.81,67.083,WASPADA,SEDANG,6.3,80.5,30.6,NORMAL,-8.1892,114.3678
2024-01-03 18:00:00,Sungai_Bajulmati,158.64,141.36,43.093,AMAN,RENDAH,1.5,69.5,26.4,NORMAL,-8.1892,114.3678
2024-01-04 00:00:00,Sungai_Bajulmati,69.58,230.42,89.204,BANJIR,TINGGI,2.6,67.7,30.0,NORMAL,-8.1892,114.3678
2024-01-04 06:00:00,Sungai_Bajulmati,65.01,234.99,91.793,BANJIR,TINGGI,1.4,72.6,28.9,NORMAL,-8.1892,114.3678
